DATABASE	NAME	EC NUMBER(S)	KEGG ID(S)	DELTAG (kcal/mol)	DELTAG ERROR (kcal/mol)	EQUATION	NAME EQ	THERMODYNAMIC FEASIBILTY
rxn04049	precorrin-5 C1-methyltransferase	|2.1.1.-|	R05811	10000000	10000000	cpd00001_c0 + cpd00017_c0 + cpd08371_c0 <=> cpd00019_c0 + (2) cpd00067_c0 + cpd00071_c0 + cpd08372_c0	H2O + SAM + Cobalt-precorrin 5 <=> S-Adenosylhomocysteine + 2 H+ + AALD + Cobalt-precorrin 6	<=>
rxn04047	precorrin-3B C17-methyltransferase	|2.1.1.131|	R05809	10000000	10000000	cpd00017_c0 + cpd08369_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd08370_c0	SAM + Cobalt-precorrin 3 <=> S-Adenosylhomocysteine + H+ + Cobalt-precorrin 4	<=>
rxn04046	S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase	|2.1.1.151|		10000000	10000000	cpd00017_c0 + cpd08368_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd08369_c0	SAM + Cobalt-precorrin 2 <=> S-Adenosylhomocysteine + H+ + Cobalt-precorrin 3	<=>
rxn04044	ATP:deoxynucleoside 5'-phosphotransferase	|2.7.1.145|		-4.5	0.23673	cpd00002_c0 + cpd01529_c0 <=> cpd00008_c0 + cpd00513_c0	ATP + Deoxynucleoside <=> ADP + Deoxynucleoside 5'-phosphate	<=>
rxn04045	sirohydrochlorin cobalt-lyase	|4.99.1.3|	R05807	10000000	10000000	(2) cpd00067_c0 + cpd00149_c0 + cpd03426_c0 <=> cpd08368_c0	2 H+ + Co2+ + Sirohydrochlorin <=> Cobalt-precorrin 2	<=>
rxn04043	ADP:D-fructose-6-phosphate 1-phosphotransferase	|2.7.1.146|	R05805	-4.5	0.23673	cpd00008_c0 + cpd00072_c0 <=> cpd00018_c0 + cpd00290_c0	ADP + Neuberg ester <=> AMP + D-Fructose1-6-bisphosphate	<=>
rxn04042	ADP:D-glucose 6-phosphotransferase	|2.7.1.147|	R05804	-4.5	0.23673	cpd00008_c0 + cpd00027_c0 <=> cpd00018_c0 + cpd00079_c0	ADP + Glucose <=> AMP + Robison ester	<=>
rxn04041	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase	|2.7.1.151|	R05801	-4.5	0.23673	cpd00002_c0 + cpd08377_c0 <=> cpd00008_c0 + cpd00943_c0	ATP + Inositol 1,4,5,6-tetrakisphosphate <=> ADP + Inositol 1,3,4,5,6-pentakisphosphate	<=>
rxn04040	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase	|2.7.1.151|	R05800	-4.5	0.23673	cpd00002_c0 + cpd00916_c0 <=> cpd00008_c0 + cpd08377_c0	ATP + Ins(1,4,5)P3 <=> ADP + Inositol 1,4,5,6-tetrakisphosphate	<=>
rxn04039	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase	|2.7.4.21|	R05799	0	2	cpd00002_c0 + cpd00885_c0 <=> cpd00008_c0 + cpd08050_c0	ATP + Phytate <=> ADP + 1-Diphosinositol pentakisphosphate	<=>
rxn04038	2-(beta-D-glucosyl)-sn-glycerol-3-phosphate phosphohydrolase	|3.1.3.69|	R05791	-2.317	0.735634	cpd00001_c0 + cpd07403_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd08376_c0	H2O + 2-(beta-D-Glucosyl)-sn-glycerol 3-phosphate <=> Phosphate + H+ + 2-(beta-D-Glucosyl)-sn-glycerol	=>
rxn04037	alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase	|3.1.3.70|	R05790	-2.317	0.735634	cpd00001_c0 + cpd08355_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd08374_c0	H2O + 2-(alpha-D-Mannosyl)-3-phosphoglycerate <=> Phosphate + H+ + alpha-Mannosylglycerate	=>
rxn04036	(R)-2-phospho-3-sulfolactate phosphohydrolase	|3.1.3.71|	R05789	-2.317	0.735634	cpd00001_c0 + cpd08366_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd08367_c0	H2O + (2R)-Phosphosulfolactate <=> Phosphate + H+ + (2R)-3-Sulfolactate	=>
rxn04035	6-O-(beta-D-xylopyranosyl)-beta-D-glucopyranoside	|3.2.1.149|	R05788	-3.113	0.692797	cpd00001_c0 + cpd08364_c0 <=> cpd00057_c0 + cpd08365_c0	H2O + beta-Primeveroside <=> Alcohol + beta-Primeverose	=>
rxn04034	limonene-1,2-epoxide hydrolase	|3.3.2.8|	R05784	9.187	3.68395	cpd00001_c0 + cpd04490_c0 <=> cpd04495_c0	H2O + Limonene oxide <=> Limonene-1,2-diol	<=
rxn04033	mandelamide hydrolase	|3.5.1.86|	R05783	-4.723	0.88056	cpd00001_c0 + cpd04509_c0 <=> cpd00013_c0 + cpd01357_c0	H2O + (R)-Mandelamide <=> NH3 + (R)-Mandelate	=>
rxn04032	cyclic-imide amidohydrolase (decyclicizing)	|3.5.2.16|	R05781	0.397	1.26729	cpd00001_c0 + cpd04491_c0 <=> cpd00067_c0 + cpd01123_c0	H2O + Maleimide <=> H+ + Maleamate	<=>
rxn04031	thiocyanate aminohydrolase	|3.5.5.8|	R05780	10000000	10000000	cpd00001_c0 + (2) cpd00067_c0 + cpd01211_c0 <=> cpd00013_c0 + cpd04536_c0	H2O + 2 H+ + Thiocyanate <=> NH3 + Carbonyl sulfide	<=>
rxn04030	5-Diphosphoinositol pentakisphosphate diphosphohydrolase	|3.6.1.52|	R05779	-6.817	0.717554	cpd00001_c0 + cpd08361_c0 <=> cpd00009_c0 + cpd00067_c0 + cpd00885_c0	H2O + 5-PP-InsP5 <=> Phosphate + H+ + Phytate	=>
rxn04029	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	|1.13.11.46|	R05778	-108.28	0.782868	cpd00007_c0 + cpd00868_c0 <=> cpd00011_c0 + cpd08362_c0	O2 + 4-Hydroxyphenylpyruvate <=> CO2 + 4-Hydroxymandelate	=>
rxn04027	UDP-6-sulfo-6-deoxyglucose sulfohydrolase	|3.13.1.1|	R05775	-12.7895	1.02935	cpd00026_c0 + cpd00081_c0 <=> cpd00001_c0 + cpd08358_c0	UDPglucose + HSO3- <=> H2O + UDP-6-sulfoquinovose	=>
rxn04028	S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase	|2.1.1.143|	R05776	-16.73	2.21495	cpd00017_c0 + cpd08359_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd08360_c0	SAM + 24-Methylene lophenol <=> S-Adenosylhomocysteine + H+ + 24-Ethylidene lophenol	=>
rxn04026	sulfopyruvate carboxy-lyase	|4.1.1.79|	R05774	-4.09	0.595908	cpd00067_c0 + cpd03285_c0 <=> cpd00011_c0 + cpd00460_c0	H+ + 3-Sulfopyruvate <=> CO2 + Sulfoacetaldehyde	=>
rxn04025	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA:vanillin lyase	|4.1.2.41|	R05773	-0.8	0.378643	cpd04511_c0 <=> cpd00022_c0 + cpd00561_c0	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA <=> Acetyl-CoA + Vanillin	<=>
rxn04024	trans-feruloyl-CoA hydro-lyase	|4.2.1.101|	R05772	2.657	0.874306	cpd00001_c0 + cpd00321_c0 <=> cpd04511_c0	H2O + Feruloyl-CoA <=> 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA	<=>
rxn04022	UDP-glucose:hydroquinone-O-b-D-glucosyltransferase	|2.4.1.218|	R05769	-1.7	0.632032	cpd00026_c0 + cpd00415_c0 <=> cpd00014_c0 + cpd03696_c0	UDPglucose + Quinol <=> UDP + Ursin	<=>
rxn04023	N-cyclohexylformamide hydro-lyase	|4.2.1.103|	R05771	10000000	10000000	cpd00067_c0 + cpd08356_c0 <=> cpd00001_c0 + cpd08357_c0	H+ + N-Cyclohexylformamide <=> H2O + Cyclohexyl isocyanide	<=>
rxn04021	GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase	|2.4.1.217|	R05768	-1.7	0.632032	cpd00083_c0 + cpd00169_c0 <=> cpd00031_c0 + cpd08355_c0	GDP-mannose + 3-Phosphoglycerate <=> GDP + 2-(alpha-D-Mannosyl)-3-phosphoglycerate	<=>
rxn04020	trehalose 6-phosphate:phosphate b-D-glucosyltransferase	|2.4.1.216|	R05767	-0.796	0.676477	cpd00009_c0 + cpd00067_c0 + cpd00523_c0 <=> cpd00079_c0 + cpd00501_c0	Phosphate + H+ + Trehalose 6-phosphate <=> Robison ester + beta-D-Glucose 1-phosphate	<=>
rxn04019	geranyldiphosphate diphosphate lyase (pinene forming)	|4.2.3.14|	R05766	10000000	10000000	cpd00283_c0 <=> cpd00012_c0 + cpd03748_c0	Geranyldiphosphate <=> PPi + beta-Pinene	<=>
rxn04018	geranyldiphosphate diphosphate lyase (pinene forming)	|4.2.3.14|	R05765	10000000	10000000	cpd00283_c0 <=> cpd00012_c0 + cpd03749_c0	Geranyldiphosphate <=> PPi + alpha-Pinene	<=>
rxn04017	S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate	|2.1.1.145|	R05764	-5.33	2.22272	cpd00017_c0 + cpd01563_c0 <=> cpd00019_c0 + cpd08354_c0	SAM + trans-Aconitate <=> S-Adenosylhomocysteine + (E)-2-(Methoxycarbonylmethyl)butenedioate	<=>
rxn04016	S-adenosyl-L-methionine:(E)-prop-1-ene-1,2,3-tricarboxylate	|2.1.1.144|	R05763	-5.33	2.22272	cpd00017_c0 + cpd01563_c0 <=> cpd00019_c0 + cpd08353_c0	SAM + trans-Aconitate <=> S-Adenosylhomocysteine + (E)-3-(Methoxycarbonyl)pent-2-enedioate	<=>
rxn04015	(S)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase	|4.4.1.23|	R05762	11.106	2.08661	cpd08337_c0 <=> cpd02246_c0 + cpd08346_c0	(S)-2-Hydroxypropyl-CoM <=> CoM + (S)-1,2-Epoxypropane	<=>
rxn04013	S-adenosyl-L-methionine:cycloartenol 24-C-methyltransferase	|2.1.1.142|	R05760	-19.86	2.2229	cpd00017_c0 + cpd01306_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd08352_c0	SAM + Cycloartenol <=> S-Adenosylhomocysteine + H+ + (24R)-24-Methylcycloarta-25-en-3-beta-ol	=>
rxn04014	(R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase	|4.4.1.23|	R05761	11.106	2.08661	cpd08335_c0 <=> cpd02246_c0 + cpd08345_c0	(R)-2-Hydroxypropyl-CoM <=> CoM + (R)-1,2-Epoxypropane	<=>
rxn04012	S-adenosyl-L-methionine:jasmonate O-methyltransferase	|2.1.1.141|	R05759	-5.33	2.22272	cpd00017_c0 + cpd05399_c0 <=> cpd00019_c0 + cpd08351_c0	SAM + Jasmonate <=> S-Adenosylhomocysteine + Methyl jasmonate	<=>
rxn04011	threo-3-hydroxy-L-aspartate ammonia-lyase	|4.3.1.16|	R05758	-5.7	0.686677	cpd08350_c0 <=> cpd00013_c0 + cpd00032_c0	L-threo-3-Hydroxyaspartate <=> NH3 + Oxaloacetate	=>
rxn04010	S-adenosyl-L-methionine:3'-demethylstaurosporine O-methyltransferase	|2.1.1.139|	R05757	-4.36	2.22091	cpd00017_c0 + cpd04552_c0 <=> cpd00019_c0 + cpd00067_c0 + cpd01410_c0	SAM + 3'-Demethylstaurosporine <=> S-Adenosylhomocysteine + H+ + Staurosporine	<=>
rxn04009	S-adenosyl-L-methionine:arsenite As-methyltransferase	|2.1.1.137|	R05755	10000000	10000000	cpd00017_c0 + cpd04098_c0 <=> cpd00019_c0 + (2) cpd00067_c0 + cpd04505_c0	SAM + Arsenite <=> S-Adenosylhomocysteine + 2 H+ + Methylarsonate	<=>
rxn04008	S-adenosyl-L-methionine:trichlorophenol O-methyltransferase	|2.1.1.136|	R05754	-3.53	2.40602	cpd00017_c0 + cpd04373_c0 <=> cpd00019_c0 + cpd08349_c0	SAM + 2,4,6-Trichlorophenol <=> S-Adenosylhomocysteine + 2,4.6-Trichloroanisole	<=>
rxn04007	deacetylisoipecoside dopamine-lyase	|4.3.3.3|	R05750	-13.767	1.58486	cpd01275_c0 + cpd02357_c0 <=> cpd00001_c0 + cpd00067_c0 + cpd04512_c0	Secologanin + Dopamine <=> H2O + H+ + Deacetylisoipecoside	=>
rxn04006	deacetylipecoside dopamine-lyase	|4.3.3.4|	R05749	-13.767	1.58486	cpd01275_c0 + cpd02357_c0 <=> cpd00001_c0 + cpd00067_c0 + cpd04514_c0	Secologanin + Dopamine <=> H2O + H+ + Deacetylipecoside	=>
rxn04005	gluthathione:methylarsonate oxidoreductase	|1.20.4.2|	R05748	10000000	10000000	(2) cpd00042_c0 + cpd00067_c0 + cpd04505_c0 <=> cpd00001_c0 + cpd00111_c0 + cpd04506_c0	2 GSH + H+ + Methylarsonate <=> H2O + GSSG + Methylarsonite	<=>
rxn04004	phosphonate:NAD+ oxidoreductase	|1.20.1.1|	R05746	10000000	10000000	cpd00001_c0 + cpd00003_c0 + cpd04099_c0 <=> cpd00004_c0 + cpd00009_c0 + (2) cpd00067_c0	H2O + NAD + Phosphonate <=> NADH + Phosphate + 2 H+	<=>
rxn04003	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	|1.14.13.72|	R05738	-118.577	1.27799	cpd00005_c0 + cpd00007_c0 + cpd08348_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd02939_c0	TPNH + O2 + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde <=> H2O + TPN + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	=>
rxn04002	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	|1.14.13.72|	R05737	-103.554	1.54743	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd02924_c0 <=> (2) cpd00001_c0 + cpd00006_c0 + cpd08348_c0	TPNH + O2 + H+ + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol <=> 2 H2O + TPN + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	=>
rxn04001	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	|1.14.13.72|	R05736	-92.5767	1.27653	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd02759_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd02924_c0	TPNH + O2 + H+ + 4,4-Dimethyl-5alpha-cholest-7-en-3beta-ol <=> H2O + TPN + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol	=>
rxn04000	acetone:carbon-dioxide ligase (AMP-forming)	|6.4.1.6|	R05735	-5.914	1.61983	(2) cpd00001_c0 + cpd00002_c0 + cpd00011_c0 + cpd00178_c0 <=> (2) cpd00009_c0 + cpd00018_c0 + (3) cpd00067_c0 + cpd00142_c0	2 H2O + ATP + CO2 + Acetone <=> 2 Phosphate + AMP + 3 H+ + Acetoacetate	=>
rxn03999	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	|1.14.13.72|		-88.9767	1.27799	cpd00003_c0 + cpd00007_c0 + (2) cpd00067_c0 + cpd08348_c0 <=> cpd00001_c0 + cpd00004_c0 + cpd02939_c0	NAD + O2 + 2 H+ + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde <=> H2O + NADH + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carboxylate	=>
rxn03998	4,4-dimethyl-5a-cholest-7-en-3b-ol,hydrogen-donor:oxygen	|1.14.13.72|	R05733	-103.554	1.54743	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd02924_c0 <=> (2) cpd00001_c0 + cpd00003_c0 + cpd08348_c0	NADH + O2 + H+ + 4beta-Hydroxymethyl-4alpha-methyl-5alpha-cholest-7-en-3beta-ol <=> 2 H2O + NAD + 3beta-Hydroxy-4beta-methyl-5alpha-cholest-7-ene-4alpha-carbaldehyde	=>
rxn03997	N-methylcoclaurine 3'-hydroxylase	|1.14.13.71|	R05732	-95.8267	1.31456	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd03081_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd03094_c0	TPNH + O2 + H+ + (S)-N-Methylcoclaurine <=> H2O + TPN + (S)-3'-Hydroxy-N-methylcoclaurine	=>
rxn03996	sterol,NADPH:oxygen oxidoreductase (14-methyl cleaving)	|1.14.13.70|	R05731	-294.457	5.24754	(3) cpd00005_c0 + (3) cpd00007_c0 + (2) cpd00067_c0 + cpd01334_c0 <=> (4) cpd00001_c0 + (3) cpd00006_c0 + cpd00047_c0 + cpd08347_c0	3 TPNH + 3 O2 + 2 H+ + Obtusifoliol <=> 4 H2O + 3 TPN + FORM + delta8,14 -Sterol	=>
rxn03995	alkene,NADH:oxygen oxidoreductase	|1.14.13.69|	R05730	-93.8767	2.39396	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd08344_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd08346_c0	NADH + O2 + H+ + Propene <=> H2O + NAD + (S)-1,2-Epoxypropane	=>
rxn03994	alkene,NADH:oxygen oxidoreductase	|1.14.13.69|	R05729	-93.8767	2.39396	cpd00004_c0 + cpd00007_c0 + cpd00067_c0 + cpd08344_c0 <=> cpd00001_c0 + cpd00003_c0 + cpd08345_c0	NADH + O2 + H+ + Propene <=> H2O + NAD + (R)-1,2-Epoxypropane	=>
rxn03993	4-hydroxyphenylacetaldehyde oxime, NADPH2:oxygen oxidoreductase	|1.14.13.68|	R05728	-128.974	6.05288	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd02667_c0 <=> (2) cpd00001_c0 + cpd00006_c0 + cpd02346_c0	TPNH + O2 + H+ + (Z)-4-Hydroxyphenylacetaldehyde-oxime <=> 2 H2O + TPN + (S)-4-Hydroxymandelonitrile	=>
rxn03992	quinine, NADPH2:oxygen oxidoreductase	|1.14.13.67|	R05727	10000000	10000000	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd03936_c0 <=> cpd00001_c0 + cpd00006_c0 + cpd04547_c0	TPNH + O2 + H+ + Quinine <=> H2O + TPN + 3-Hydroxyquinine	<=>
rxn03991	nitric oxide, NADPH2:oxygen oxidoreductase	|1.14.12.17|	R05725	10000000	2.27128	cpd00005_c0 + (2) cpd00007_c0 + (2) cpd00418_c0 <=> cpd00006_c0 + cpd00067_c0 + (2) cpd00209_c0	TPNH + 2 O2 + 2 NO <=> TPN + H+ + 2 Nitrate	<=>
rxn03990	nitric oxide, NAD(P)H2:oxygen oxidoreductase	|1.14.12.17|	R05724	10000000	2.27128	cpd00004_c0 + (2) cpd00007_c0 + (2) cpd00418_c0 <=> cpd00003_c0 + cpd00067_c0 + (2) cpd00209_c0	NADH + 2 O2 + 2 NO <=> NAD + H+ + 2 Nitrate	<=>
rxn03989	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	|1.14.11.19|	R05723	-121.917	1.01059	cpd00007_c0 + cpd00024_c0 + cpd03503_c0 <=> cpd00001_c0 + cpd00011_c0 + cpd00036_c0 + cpd01135_c0	O2 + 2-Oxoglutarate + Resivit <=> H2O + CO2 + Succinate + Taxifolin	=>
rxn03988	phytanoyl-CoA, 2-oxoglutarate:oxygen oxidoreductase	|1.14.11.18|	R05722	-108.28	0.782868	cpd00007_c0 + cpd00024_c0 + cpd01402_c0 <=> cpd00011_c0 + cpd00036_c0 + cpd04546_c0	O2 + 2-Oxoglutarate + Phytanoyl-CoA <=> CO2 + Succinate + 2-Hydroxyphytanoyl-CoA	=>
rxn03987	chloride:oxygen oxidoreductase	|1.13.11.49|		9.7103	0.707107	cpd00007_c0 + cpd00067_c0 <=> cpd01054_c0	O2 + H+ <=> Chlorite	<=
rxn03986	3-hydroxy-2-methyl-1H-quinolin-4-one 2,4-dioxygenase (CO-forming)	|1.13.11.48|	R05720	10000000	1.93976	cpd00007_c0 + cpd08343_c0 <=> cpd00204_c0 + cpd03773_c0	O2 + 3-Hydroxy-2-methyl-1H-quinolin-4-one <=> CO + N-Acetylanthranilate	<=>
rxn03984	linoleate:oxygen 11S-oxidoreductase	|1.13.11.45|	R05718	-65.1597	0.680777	cpd00007_c0 + cpd01122_c0 <=> cpd04541_c0	O2 + Linoleate <=> (9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoate	=>
rxn03985	3-hydroxy-1H-quinolin-4-one 2,4-dioxygenase (CO-forming)	|1.13.11.47|	R05719	10000000	1.85738	cpd00007_c0 + cpd08342_c0 <=> cpd00204_c0 + cpd03364_c0	O2 + 3-Hydroxy-1H-quinolin-4-one <=> CO + Formylanthranilate	<=>
rxn03983	AMP,sulfite:glutathione-disulfide oxidoreductase	|1.8.4.9|	R05717	8.972	1.95841	cpd00018_c0 + cpd00081_c0 + cpd00111_c0 <=> (2) cpd00042_c0 + cpd00193_c0	AMP + HSO3- + GSSG <=> 2 GSH + APS	<=>
rxn03981	mycothiol:NAD+ oxidoreductase	|1.8.1.15|	R05715	2.918	2.03765	cpd00003_c0 + (2) cpd04105_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd08341_c0	NAD + 2 Mycothiol <=> NADH + H+ + Mycothione	<=>
rxn03982	mycothiol:NADP+ oxidoreductase	|1.8.1.15|	R05716	2.918	2.03765	cpd00006_c0 + (2) cpd04105_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd08341_c0	TPN + 2 Mycothiol <=> TPNH + H+ + Mycothione	<=>
rxn03980	glutathione:NADP+ oxidoreductase (CoA-acylating)	|1.8.1.10|	R05714	2.918	2.03765	cpd00006_c0 + cpd00010_c0 + cpd00042_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00682_c0	TPN + CoA + GSH <=> TPNH + H+ + CoA-glutathione	<=
rxn03979	2-mercaptoethanesulfonate,acetoacetate:NADP+ oxidoreductase	|1.8.1.5|	R05713	5.624	1.51936	cpd00006_c0 + cpd00142_c0 + cpd02246_c0 <=> cpd00005_c0 + cpd00011_c0 + cpd08336_c0	TPN + Acetoacetate + CoM <=> TPNH + CO2 + 2-Oxopropyl-CoM	<=>
rxn03978	ammonia:ferricytochrome-c oxidoreductase	|1.7.2.2|	R05712	10000000	10000000	(2) cpd00001_c0 + cpd00013_c0 + (6) cpd00109_c0 <=> (8) cpd00067_c0 + cpd00075_c0 + (6) cpd00110_c0	2 H2O + NH3 + 6 Cytochrome c3+ <=> 8 H+ + Nitrite + 6 Cytochrome c2+	<=>
rxn03977	N,N-dimethyl-1,4-phenylenediamine, aniline:NADP+ oxidoreductase	|1.7.1.6|		4.8	6.44009	cpd00006_c0 + cpd00245_c0 + cpd02581_c0 <=> cpd00005_c0 + (3) cpd00067_c0 + cpd02360_c0	TPN + Aniline + p-Amino-N,N-dimethylaniline <=> TPNH + 3 H+ + Methyl yellow	<=>
rxn03976	reduced-riboflavin:NADP+ oxidoreductase	|1.5.1.30|	R05707	18.85	2.10134	cpd00006_c0 + cpd00739_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00220_c0	TPN + Reduced riboflavin <=> TPNH + H+ + RIBF	<=
rxn03975	FMNH2:NADP+ oxidoreductase	|1.5.1.29|	R05706	18.85	2.10134	cpd00006_c0 + cpd01270_c0 <=> cpd00005_c0 + cpd00050_c0 + cpd00067_c0	TPN + FMNH2 <=> TPNH + FMN + H+	<=
rxn03974	FMNH2:NAD+ oxidoreductase	|1.5.1.29|	R05705	18.85	2.10134	cpd00003_c0 + cpd01270_c0 <=> cpd00004_c0 + cpd00050_c0 + cpd00067_c0	NAD + FMNH2 <=> NADH + FMN + H+	<=
rxn03973	lanosterol D24-reductase	|1.3.1.72|	R05703	17.54	1.15714	cpd00006_c0 + cpd00877_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd03222_c0	TPN + Lathosterol <=> TPNH + H+ + 5alpha-Cholesta-7,24-dien-3beta-ol	<=
rxn03972	dihydrozeatin:NADP oxidoreductase	|1.3.1.69|	R05702	17.54	1.15714	cpd00006_c0 + cpd01386_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00302_c0	TPN + Dihydrozeatin <=> TPNH + H+ + Zeatin	<=
rxn03971	Coniferyl aldehyde:NADP oxidoreductase	|1.2.1.68|1.2.1.-|	R05701	-9.803	1.17612	cpd00001_c0 + cpd00006_c0 + cpd01733_c0 <=> cpd00005_c0 + (2) cpd00067_c0 + cpd01059_c0	H2O + TPN + Ferulaldehyde <=> TPNH + 2 H+ + Ferulate	=>
rxn03970	Coniferyl aldehyde:NAD oxidoreductase	|1.2.1.68|1.2.1.-|	R05700	-9.803	1.17612	cpd00001_c0 + cpd00003_c0 + cpd01733_c0 <=> cpd00004_c0 + (2) cpd00067_c0 + cpd01059_c0	H2O + NAD + Ferulaldehyde <=> NADH + 2 H+ + Ferulate	=>
rxn03969	vanillin:NAD oxidoreductase	|1.2.1.67|	R05699	-9.803	1.17612	cpd00001_c0 + cpd00003_c0 + cpd00561_c0 <=> cpd00004_c0 + (2) cpd00067_c0 + cpd04073_c0	H2O + NAD + Vanillin <=> NADH + 2 H+ + Vanillate	=>
rxn03968	Mannitol:oxygen oxidoreductase (cyclizing)	|1.1.3.40|	R05698	-28.8097	1.69651	cpd00007_c0 + cpd00314_c0 <=> cpd00025_c0 + cpd00138_c0	O2 + MNTL <=> H2O2 + MANN	=>
rxn03967	rxn03967	|1.1.3.39|		-50.5497	0.734314	cpd00007_c0 + (4) cpd00067_c0 + cpd08339_c0 <=> cpd00025_c0 + cpd08340_c0	O2 + 4 H+ + 5'-Dehydroadenosine <=> H2O2 + 9-Riburonosyladenine	=>
rxn03966	rxn03966	|1.1.3.39|	R05696	-26.4897	0.741944	cpd00007_c0 + cpd00182_c0 <=> cpd00025_c0 + cpd08339_c0	O2 + Adenosine <=> H2O2 + 5'-Dehydroadenosine	=>
rxn03965	Nucleoside:oxygen 5'-oxidoreductase (H2O2-forming)	|1.1.3.39|		-77.0394	1.42685	(2) cpd00007_c0 + (4) cpd00067_c0 + cpd00182_c0 <=> (2) cpd00025_c0 + cpd08340_c0	2 O2 + 4 H+ + Adenosine <=> 2 H2O2 + 9-Riburonosyladenine	=>
rxn03964	(R)-2-Hydroxyacid:NADP+ oxidoreductase	|1.1.1.272|	R05694	6.22	1.09509	cpd00006_c0 + cpd08338_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd03285_c0	TPN + (S)-3-Sulfolactate <=> TPNH + H+ + 3-Sulfopyruvate	<=>
rxn03963	(R)-2-Hydroxyacid:NAD+ oxidoreductase	|1.1.1.272|	R05693	6.22	1.09509	cpd00003_c0 + cpd08338_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd03285_c0	NAD + (S)-3-Sulfolactate <=> NADH + H+ + 3-Sulfopyruvate	<=>
rxn03962	GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)	|1.1.1.271|	R05692	2.3	1.11438	cpd00006_c0 + cpd00272_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd00900_c0	TPN + GDP-L-fucose <=> TPNH + H+ + GDP-4-dehydro-D-rhamnose	<=>
rxn03961	3-beta-Hydroxy-steroid:NADP+ 3-oxidoreductase	|1.1.1.270|	R05691	2.3	1.11438	cpd00006_c0 + cpd05725_c0 <=> cpd00005_c0 + cpd00067_c0 + cpd02719_c0	TPN + Lophenol <=> TPNH + H+ + 4alpha-Methyl-5alpha-cholest-7-en-3-one	<=>
